report_date,total_individuals_at_least_one,total_individuals_fully_vaccinated
2020-12-24T00:00:00,0,0
2020-12-30T00:00:00,0,0
2020-12-31T00:00:00,0,0
2021-01-01T00:00:00,0,0
2021-01-02T00:00:00,0,0
2021-01-03T00:00:00,0,0
2021-01-04T00:00:00,0,0
2021-01-05T00:00:00,0,0
2021-01-06T00:00:00,59950,430
2021-01-07T00:00:00,71544,1087
2021-01-08T00:00:00,85536,2027
2021-01-09T00:00:00,100323,2940
2021-01-10T00:00:00,110304,2942
2021-01-11T00:00:00,119163,2942
2021-01-12T00:00:00,130530,3023
2021-01-13T00:00:00,140395,4389
2021-01-14T00:00:00,152374,6647
2021-01-15T00:00:00,166083,8547
2021-01-16T00:00:00,179423,9667
2021-01-17T00:00:00,189240,10857
2021-01-18T00:00:00,198912,10876
2021-01-19T00:00:00,211329,12805
2021-01-20T00:00:00,221737,16181
2021-01-21T00:00:00,233704,20113
2021-01-22T00:00:00,240339,24646
2021-01-23T00:00:00,247192,28954
2021-01-24T00:00:00,249132,31441
2021-01-25T00:00:00,250482,35628
2021-01-26T00:00:00,254174,41643
2021-01-27T00:00:00,257100,48230
2021-01-28T00:00:00,261954,55286
2021-01-29T00:00:00,265776,61679
2021-01-30T00:00:00,269041,67787
2021-01-31T00:00:00,270795,68849
2021-02-01T00:00:00,271607,70293
2021-02-02T00:00:00,272558,72057
2021-02-03T00:00:00,273337,74994
2021-02-04T00:00:00,274078,80977
2021-02-05T00:00:00,274918,87831
2021-02-06T00:00:00,276093,96573
2021-02-07T00:00:00,277440,101744
2021-02-08T00:00:00,280008,106163
2021-02-09T00:00:00,283104,115529
2021-02-10T00:00:00,286394,125725
2021-02-11T00:00:00,289848,136988
2021-02-12T00:00:00,291159,151282
2021-02-13T00:00:00,292640,164307
2021-02-14T00:00:00,292983,174643
2021-02-15T00:00:00,293187,182137
2021-02-16T00:00:00,293443,186934
2021-02-17T00:00:00,294118,195366
2021-02-18T00:00:00,296065,205802
2021-02-19T00:00:00,301119,217715
2021-02-20T00:00:00,310978,229151
2021-02-21T00:00:00,320611,235922
2021-02-22T00:00:00,328786,240669
2021-02-23T00:00:00,338665,247042
2021-02-24T00:00:00,351258,251590
2021-02-25T00:00:00,366511,255449
2021-02-26T00:00:00,385751,258014
2021-02-27T00:00:00,407132,260972
2021-02-28T00:00:00,425168,262103
2021-03-01T00:00:00,441481,263214
2021-03-02T00:00:00,462125,264896
2021-03-03T00:00:00,487709,266710
2021-03-04T00:00:00,516710,268118
2021-03-05T00:00:00,551651,269063
2021-03-06T00:00:00,589787,270625
2021-03-07T00:00:00,618797,271807
2021-03-08T00:00:00,638810,273676
2021-03-09T00:00:00,667340,276193
2021-03-10T00:00:00,699593,279204
2021-03-11T00:00:00,737693,281714
2021-03-12T00:00:00,780162,282748
2021-03-13T00:00:00,831810,284686
2021-03-14T00:00:00,872740,285615
2021-03-15T00:00:00,904270,287283
2021-03-16T00:00:00,954214,288918
2021-03-17T00:00:00,1010675,290659
2021-03-18T00:00:00,1067184,292269
2021-03-19T00:00:00,1125850,294749
2021-03-20T00:00:00,1183748,297134
2021-03-21T00:00:00,1223156,298549
2021-03-22T00:00:00,1253743,299297
2021-03-23T00:00:00,1302656,301043
2021-03-24T00:00:00,1373486,302664
2021-03-25T00:00:00,1451210,304386
2021-03-26T00:00:00,1532219,306373
2021-03-27T00:00:00,1608031,308301
2021-03-28T00:00:00,1671997,309285
2021-03-29T00:00:00,1720487,311248
2021-03-30T00:00:00,1788491,313889
2021-03-31T00:00:00,1876433,315820
2021-04-01T00:00:00,1958598,317715
2021-04-02T00:00:00,2044146,320350
2021-04-03T00:00:00,2102594,321469
2021-04-04T00:00:00,2171140,322048
2021-04-05T00:00:00,2223443,322197
2021-04-06T00:00:00,2298691,323148
2021-04-07T00:00:00,2401438,324783
2021-04-08T00:00:00,2508424,326360
2021-04-09T00:00:00,2611568,328598
2021-04-10T00:00:00,2713967,330982
2021-04-11T00:00:00,2806593,333150
2021-04-12T00:00:00,2881046,333419
2021-04-13T00:00:00,2974895,335262
2021-04-14T00:00:00,3085768,337206
2021-04-15T00:00:00,3188913,339491
2021-04-16T00:00:00,3302105,341933
2021-04-17T00:00:00,3407072,344244
2021-04-18T00:00:00,3492571,345310
2021-04-19T00:00:00,3558773,346005
2021-04-20T00:00:00,3647590,347597
2021-04-21T00:00:00,3782486,349396
2021-04-22T00:00:00,3915448,351354
2021-04-23T00:00:00,4045466,355208
2021-04-24T00:00:00,4168592,358776
2021-04-25T00:00:00,4266549,360354
2021-04-26T00:00:00,4335045,361166
2021-04-27T00:00:00,4428467,362563
2021-04-28T00:00:00,4542037,365166
2021-04-29T00:00:00,4659367,368403
2021-04-30T00:00:00,4768874,371110
2021-05-01T00:00:00,4874125,373559
2021-05-02T00:00:00,4949089,375280
2021-05-03T00:00:00,5002344,375905
2021-05-04T00:00:00,5089035,378085
2021-05-05T00:00:00,5218600,381123
2021-05-06T00:00:00,5356172,384589
2021-05-07T00:00:00,5498001,387484
2021-05-08T00:00:00,5632620,390990
2021-05-09T00:00:00,5751850,392835
2021-05-10T00:00:00,5844894,393884
2021-05-11T00:00:00,5954094,396787
2021-05-12T00:00:00,6089408,402258
2021-05-13T00:00:00,6221763,407600
2021-05-14T00:00:00,6355597,415531
2021-05-15T00:00:00,6502272,422960
2021-05-16T00:00:00,6635179,429636
2021-05-17T00:00:00,6744385,432760
2021-05-18T00:00:00,6844075,442102
2021-05-19T00:00:00,6974854,456784
2021-05-20T00:00:00,7102865,473759
2021-05-21T00:00:00,7239391,495757
2021-05-22T00:00:00,7405296,519981
2021-05-23T00:00:00,7534004,531603
2021-05-24T00:00:00,7626745,537970
2021-05-25T00:00:00,7707354,544288
2021-05-26T00:00:00,7817633,569317
2021-05-27T00:00:00,7935844,594854
2021-05-28T00:00:00,8065553,624920
2021-05-29T00:00:00,8180306,659139
2021-05-30T00:00:00,8296384,687894
2021-05-31T00:00:00,8375193,706832
2021-06-01T00:00:00,8462498,739722
2021-06-02T00:00:00,8560958,781163
2021-06-03T00:00:00,8658024,834981
2021-06-04T00:00:00,8765262,896065
2021-06-05T00:00:00,8870925,963257
2021-06-06T00:00:00,8961055,1031520
2021-06-07T00:00:00,9022599,1086805
2021-06-08T00:00:00,9093283,1174330
2021-06-09T00:00:00,9162443,1282676
2021-06-10T00:00:00,9227693,1399776
2021-06-11T00:00:00,9293678,1533742
2021-06-12T00:00:00,9354691,1667761
2021-06-13T00:00:00,9412085,1796782
2021-06-14T00:00:00,9450121,1894320
2021-06-15T00:00:00,9491679,2037751
2021-06-16T00:00:00,9533699,2198715
2021-06-17T00:00:00,9571990,2371035
2021-06-18T00:00:00,9606422,2547241
2021-06-19T00:00:00,9641597,2725302
2021-06-20T00:00:00,9676870,2874280
2021-06-21T00:00:00,9697075,2972700
2021-06-22T00:00:00,9723938,3145372
2021-06-23T00:00:00,9752884,3343744
2021-06-24T00:00:00,9779377,3542439
2021-06-25T00:00:00,9806988,3761221
2021-06-26T00:00:00,9836364,3988105
2021-06-27T00:00:00,9863520,4163621
2021-06-28T00:00:00,9882740,4324770
2021-06-29T00:00:00,9909272,4563469
2021-06-30T00:00:00,9932968,4808170
2021-07-01T00:00:00,9957615,5051210
2021-07-02T00:00:00,9968560,5185939
2021-07-03T00:00:00,9987497,5377506
2021-07-04T00:00:00,10006434,5554637
2021-07-05T00:00:00,10018389,5687477
2021-07-06T00:00:00,10037944,5883641
2021-07-07T00:00:00,10056532,6069647
2021-07-08T00:00:00,10082157,6312906
2021-07-09T00:00:00,10103967,6515960
2021-07-10T00:00:00,10124810,6702624
