prname,date,numconf
Ontario,2020-01-31,3
British Columbia,2020-01-31,1
Canada,2020-01-31,4
Ontario,2020-02-08,3
British Columbia,2020-02-08,4
Canada,2020-02-08,7
Ontario,2020-02-16,3
British Columbia,2020-02-16,5
Canada,2020-02-16,8
Ontario,2020-02-21,3
British Columbia,2020-02-21,6
Canada,2020-02-21,9
Ontario,2020-02-24,4
British Columbia,2020-02-24,6
Canada,2020-02-24,10
Ontario,2020-02-25,4
British Columbia,2020-02-25,7
Canada,2020-02-25,11
Ontario,2020-02-26,5
British Columbia,2020-02-26,7
Canada,2020-02-26,12
Ontario,2020-02-27,6
British Columbia,2020-02-27,7
Canada,2020-02-27,13
Ontario,2020-02-29,8
British Columbia,2020-02-29,7
Canada,2020-02-29,15
Ontario,2020-03-01,15
British Columbia,2020-03-01,8
Quebec,2020-03-01,1
Canada,2020-03-01,24
Ontario,2020-03-03,20
British Columbia,2020-03-03,12
Quebec,2020-03-03,1
Canada,2020-03-03,33
Ontario,2020-03-05,22
British Columbia,2020-03-05,21
Quebec,2020-03-05,2
Canada,2020-03-05,45
Ontario,2020-03-06,28
British Columbia,2020-03-06,21
Quebec,2020-03-06,2
Canada,2020-03-06,51
Ontario,2020-03-07,28
British Columbia,2020-03-07,27
Quebec,2020-03-07,2
Canada,2020-03-07,57
Ontario,2020-03-08,31
British Columbia,2020-03-08,27
Quebec,2020-03-08,3
Alberta,2020-03-08,1
Canada,2020-03-08,62
Ontario,2020-03-09,34
British Columbia,2020-03-09,32
Quebec,2020-03-09,4
Alberta,2020-03-09,7
Canada,2020-03-09,77
British Columbia,2020-03-11,39
Alberta,2020-03-11,14
Saskatchewan,2020-03-11,0
Manitoba,2020-03-11,0
Ontario,2020-03-11,42
Quebec,2020-03-11,7
New Brunswick,2020-03-11,0
Newfoundland and Labrador,2020-03-11,0
Nova Scotia,2020-03-11,0
Prince Edward Island,2020-03-11,0
Northwest Territories,2020-03-11,0
Nunavut,2020-03-11,0
Yukon,2020-03-11,0
Repatriated travellers,2020-03-11,1
Canada,2020-03-11,103
British Columbia,2020-03-12,46
Alberta,2020-03-12,19
Saskatchewan,2020-03-12,0
Manitoba,2020-03-12,0
Ontario,2020-03-12,59
Quebec,2020-03-12,13
Newfoundland and Labrador,2020-03-12,0
New Brunswick,2020-03-12,0
Nova Scotia,2020-03-12,0
Prince Edward Island,2020-03-12,0
Yukon,2020-03-12,0
Northwest Territories,2020-03-12,0
Nunavut,2020-03-12,0
Repatriated travellers,2020-03-12,1
Canada,2020-03-12,138
British Columbia,2020-03-13,53
Alberta,2020-03-13,23
Saskatchewan,2020-03-13,0
Manitoba,2020-03-13,1
Ontario,2020-03-13,79
Quebec,2020-03-13,17
Newfoundland and Labrador,2020-03-13,0
New Brunswick,2020-03-13,1
Nova Scotia,2020-03-13,0
Prince Edward Island,2020-03-13,0
Yukon,2020-03-13,0
Northwest Territories,2020-03-13,0
Nunavut,2020-03-13,0
Repatriated travellers,2020-03-13,2
Canada,2020-03-13,176
British Columbia,2020-03-14,64
Alberta,2020-03-14,29
Saskatchewan,2020-03-14,0
Manitoba,2020-03-14,1
Ontario,2020-03-14,79
Quebec,2020-03-14,17
Newfoundland and Labrador,2020-03-14,0
New Brunswick,2020-03-14,1
Nova Scotia,2020-03-14,0
Prince Edward Island,2020-03-14,0
Yukon,2020-03-14,0
Northwest Territories,2020-03-14,0
Nunavut,2020-03-14,0
Repatriated travellers,2020-03-14,2
Canada,2020-03-14,193
British Columbia,2020-03-15,73
Alberta,2020-03-15,39
Saskatchewan,2020-03-15,0
Manitoba,2020-03-15,4
Ontario,2020-03-15,103
Quebec,2020-03-15,24
Newfoundland and Labrador,2020-03-15,0
New Brunswick,2020-03-15,1
Nova Scotia,2020-03-15,0
Prince Edward Island,2020-03-15,1
Yukon,2020-03-15,0
Northwest Territories,2020-03-15,0
Nunavut,2020-03-15,0
Repatriated travellers,2020-03-15,4
Canada,2020-03-15,249
British Columbia,2020-03-16,73
Alberta,2020-03-16,56
Saskatchewan,2020-03-16,1
Manitoba,2020-03-16,4
Ontario,2020-03-16,145
Quebec,2020-03-16,39
Newfoundland and Labrador,2020-03-16,0
New Brunswick,2020-03-16,1
Nova Scotia,2020-03-16,0
Prince Edward Island,2020-03-16,1
Yukon,2020-03-16,0
Northwest Territories,2020-03-16,0
Nunavut,2020-03-16,0
Repatriated travellers,2020-03-16,4
Canada,2020-03-16,324
British Columbia,2020-03-17,103
Alberta,2020-03-17,74
Saskatchewan,2020-03-17,2
Manitoba,2020-03-17,7
Ontario,2020-03-17,177
Quebec,2020-03-17,50
Newfoundland and Labrador,2020-03-17,0
New Brunswick,2020-03-17,2
Nova Scotia,2020-03-17,0
Prince Edward Island,2020-03-17,1
Yukon,2020-03-17,0
Northwest Territories,2020-03-17,0
Nunavut,2020-03-17,0
Repatriated travellers,2020-03-17,8
Canada,2020-03-17,424
British Columbia,2020-03-18,186
Alberta,2020-03-18,97
Saskatchewan,2020-03-18,2
Manitoba,2020-03-18,8
Ontario,2020-03-18,189
Quebec,2020-03-18,74
Newfoundland and Labrador,2020-03-18,0
New Brunswick,2020-03-18,2
Nova Scotia,2020-03-18,1
Prince Edward Island,2020-03-18,1
Yukon,2020-03-18,0
Northwest Territories,2020-03-18,0
Nunavut,2020-03-18,0
Repatriated travellers,2020-03-18,9
Canada,2020-03-18,569
British Columbia,2020-03-19,271
Alberta,2020-03-19,146
Saskatchewan,2020-03-19,8
Manitoba,2020-03-19,17
Ontario,2020-03-19,258
Quebec,2020-03-19,121
Newfoundland and Labrador,2020-03-19,1
New Brunswick,2020-03-19,7
Nova Scotia,2020-03-19,5
Prince Edward Island,2020-03-19,2
Yukon,2020-03-19,0
Northwest Territories,2020-03-19,0
Nunavut,2020-03-19,0
Repatriated travellers,2020-03-19,10
Canada,2020-03-19,846
British Columbia,2020-03-20,271
Alberta,2020-03-20,195
Saskatchewan,2020-03-20,8
Manitoba,2020-03-20,17
Ontario,2020-03-20,311
Quebec,2020-03-20,139
Newfoundland and Labrador,2020-03-20,3
New Brunswick,2020-03-20,7
Nova Scotia,2020-03-20,5
Prince Edward Island,2020-03-20,2
Yukon,2020-03-20,0
Northwest Territories,2020-03-20,0
Nunavut,2020-03-20,0
Repatriated travellers,2020-03-20,13
Canada,2020-03-20,971
British Columbia,2020-03-21,424
Alberta,2020-03-21,226
Saskatchewan,2020-03-21,25
Manitoba,2020-03-21,11
Ontario,2020-03-21,377
Quebec,2020-03-21,202
Newfoundland and Labrador,2020-03-21,3
New Brunswick,2020-03-21,9
Nova Scotia,2020-03-21,9
Prince Edward Island,2020-03-21,2
Yukon,2020-03-21,0
