Reported_Date,Total_Cases
2020-02-06,0
2020-02-07,0
2020-02-08,1
2020-02-09,2
2020-02-10,2
2020-02-11,3
2020-02-12,3
2020-02-13,3
2020-02-14,3
2020-02-15,3
2020-02-16,3
2020-02-17,3
2020-02-18,3
2020-02-19,3
2020-02-20,3
2020-02-21,3
2020-02-22,3
2020-02-23,3
2020-02-24,3
2020-02-25,3
2020-02-26,4
2020-02-27,4
2020-02-28,4
2020-02-29,5
2020-03-01,6
2020-03-02,18
2020-03-03,20
2020-03-04,20
2020-03-05,22
2020-03-06,26
2020-03-07,28
2020-03-08,29
2020-03-09,35
2020-03-10,36
2020-03-11,42
2020-03-12,59
2020-03-13,79
2020-03-14,103
2020-03-15,145
2020-03-16,177
2020-03-17,189
2020-03-18,214
2020-03-19,258
2020-03-20,318
2020-03-21,377
2020-03-22,425
2020-03-23,503
2020-03-24,588
2020-03-25,688
2020-03-26,858
2020-03-27,993
2020-03-28,1144
2020-03-29,1355
2020-03-30,1706
2020-03-31,1966
2020-04-01,2392
2020-04-02,2793
2020-04-03,3255
2020-04-04,3630
2020-04-05,4038
2020-04-06,4347
2020-04-07,4726
2020-04-08,5276
2020-04-09,5759
2020-04-10,6237
2020-04-11,6648
2020-04-12,7049
2020-04-13,7470
2020-04-14,7953
2020-04-15,8447
2020-04-16,8961
2020-04-17,9525
2020-04-18,10010
2020-04-19,10578
2020-04-20,11184
2020-04-21,11735
2020-04-22,12245
2020-04-23,12879
2020-04-24,13519
2020-04-25,13995
2020-04-26,14432
2020-04-27,14856
2020-04-28,15381
2020-04-29,15728
2020-04-30,16187
2020-05-01,16608
2020-05-02,17119
2020-05-03,17553
2020-05-04,17923
2020-05-05,18310
2020-05-06,18722
2020-05-07,19121
2020-05-08,19598
2020-05-09,19944
2020-05-10,20238
2020-05-11,20546
2020-05-12,20907
2020-05-13,21236
2020-05-14,21581
2020-05-15,21922
2020-05-16,22313
2020-05-17,22653
2020-05-18,22957
2020-05-19,23384
2020-05-20,23774
2020-05-21,24187
2020-05-22,24628
2020-05-23,25040
2020-05-24,25500
2020-05-25,25904
2020-05-26,26191
2020-05-27,26483
2020-05-28,26866
2020-05-29,27210
2020-05-30,27533
2020-05-31,27859
2020-06-01,28263
2020-06-02,28709
2020-06-03,29047
2020-06-04,29403
2020-06-05,29747
2020-06-06,30202
2020-06-07,30617
2020-06-08,30860
2020-06-09,31090
2020-06-10,31341
2020-06-11,31544
2020-06-12,31726
2020-06-13,31992
2020-06-14,32189
2020-06-15,32370
2020-06-16,32554
2020-06-17,32744
2020-06-18,32917
2020-06-19,33095
2020-06-20,33301
2020-06-21,33476
2020-06-22,33637
2020-06-23,33853
2020-06-24,34016
2020-06-25,34205
2020-06-26,34316
2020-06-27,34476
2020-06-28,34654
2020-06-29,34911
2020-06-30,35068
2020-07-01,35217
2020-07-02,35370
2020-07-03,35535
2020-07-04,35656
2020-07-05,35794
2020-07-06,35948
2020-07-07,36060
2020-07-08,36178
2020-07-09,36348
2020-07-10,36464
2020-07-11,36594
2020-07-12,36723
2020-07-13,36839
2020-07-14,36950
2020-07-15,37052
2020-07-16,37163
2020-07-17,37274
2020-07-18,37440
2020-07-19,37604
2020-07-20,37739
2020-07-21,37942
2020-07-22,38107
2020-07-23,38210
2020-07-24,38405
2020-07-25,38543
2020-07-26,38680
2020-07-27,38799
2020-07-28,38910
2020-07-29,38986
2020-07-30,39075
2020-07-31,39209
2020-08-01,39333
2020-08-02,39449
2020-08-03,39537
2020-08-04,39628
2020-08-05,39714
2020-08-06,39809
2020-08-07,39897
2020-08-08,39967
2020-08-09,40046
2020-08-10,40161
2020-08-11,40194
2020-08-12,40289
2020-08-13,40367
2020-08-14,40459
2020-08-15,40565
2020-08-16,40646
2020-08-17,40745
2020-08-18,40870
2020-08-19,40972
2020-08-20,41048
2020-08-21,41179
2020-08-22,41287
2020-08-23,41402
2020-08-24,41507
2020-08-25,41607
2020-08-26,41695
2020-08-27,41813
2020-08-28,41935
2020-08-29,42083
2020-08-30,42195
2020-08-31,42309
2020-09-01,42421
2020-09-02,42554
2020-09-03,42686
2020-09-04,42834
2020-09-05,43003
2020-09-06,43161
2020-09-07,43351
2020-09-08,43536
2020-09-09,43685
2020-09-10,43855
2020-09-11,44068
2020-09-12,44300
2020-09-13,44504
2020-09-14,44817
2020-09-15,45068
2020-09-16,45383
2020-09-17,45676
2020-09-18,46077
2020-09-19,46484
2020-09-20,46849
2020-09-21,47274
2020-09-22,47752
2020-09-23,48087
2020-09-24,48496
2020-09-25,48905
2020-09-26,49340
2020-09-27,49831
2020-09-28,50531
2020-09-29,51085
2020-09-30,51710
2020-10-01,52248
2020-10-02,52980
2020-10-03,53633
2020-10-04,54199
2020-10-05,54814
2020-10-06,55362
2020-10-07,55945
2020-10-08,56742
2020-10-09,57681
2020-10-10,58490
2020-10-11,59139
2020-10-12,59946
2020-10-13,60692
2020-10-14,61413
2020-10-15,62196
2020-10-16,62908
2020-10-17,63713
2020-10-18,64371
2020-10-19,65075
2020-10-20,65896
2020-10-21,66686
2020-10-22,67527
2020-10-23,68353
2020-10-24,69331
2020-10-25,70373
2020-10-26,71224
2020-10-27,72051
2020-10-28,72885
2020-10-29,73819
2020-10-30,74715
2020-10-31,75730
2020-11-01,76707
2020-11-02,77655
2020-11-03,78705
2020-11-04,79692
2020-11-05,80690
2020-11-06,81693
2020-11-07,82825
2020-11-08,84153
2020-11-09,85395
2020-11-10,86783
2020-11-11,88209
2020-11-12,89784
2020-11-13,91180
2020-11-14,92761
2020-11-15,94009
2020-11-16,95496
2020-11-17,96745
2020-11-18,98162
2020-11-19,99372
2020-11-20,100790
2020-11-21,102378
2020-11-22,103912
2020-11-23,105501
2020-11-24,106510
2020-11-25,107883
2020-11-26,109361
2020-11-27,111216
2020-11-28,113038
2020-11-29,114746
2020-11-30,116492
2020-12-01,118199
2020-12-02,119922
2020-12-03,121746
2020-12-04,123526
2020-12-05,125385
2020-12-06,127309
2020-12-07,129234
2020-12-08,130910
2020-12-09,132800
2020-12-10,134783
2020-12-11,136631
2020-12-12,138504
2020-12-13,140181
2020-12-14,142121
2020-12-15,144396
2020-12-16,146535
2020-12-17,148967
2020-12-18,151257
2020-12-19,153614
2020-12-20,155930
2020-12-21,158053
2020-12-22,160255
2020-12-23,162663
2020-12-24,165110
2020-12-25,167269
2020-12-26,169411
2020-12-27,171416
2020-12-28,173355
2020-12-29,175908
2020-12-30,178831
2020-12-31,182159
2021-01-01,184635
2021-01-02,187998
2021-01-03,190962
2021-01-04,194232
2021-01-05,197360
2021-01-06,200626
2021-01-07,204145
2021-01-08,208394
2021-01-09,211837
2021-01-10,215782
2021-01-11,219120
2021-01-12,222023
2021-01-13,224984
2021-01-14,228310
2021-01-15,231308
2021-01-16,234364
2021-01-17,237786
2021-01-18,240364
2021-01-19,242277
2021-01-20,244932
2021-01-21,247564
2021-01-22,250226
2021-01-23,252585
2021-01-24,255002
2021-01-25,256960
2021-01-26,258700
2021-01-27,260370
2021-01-28,262463
2021-01-29,264300
2021-01-30,266363
2021-01-31,268211
2021-02-01,270180
2021-02-02,270925
2021-02-03,272097
2021-02-04,273660
2021-02-05,275330
2021-02-06,276718
2021-02-07,278207
2021-02-08,279472
2021-02-09,280494
2021-02-10,281566
2021-02-11,282511
2021-02-12,283587
2021-02-13,284887
2021-02-14,285868
2021-02-15,286832
2021-02-16,287736
2021-02-17,288583
2021-02-18,289621
2021-02-19,290771
2021-02-20,291999
2021-02-21,293086
2021-02-22,294144
2021-02-23,295119
2021-02-24,296173
2021-02-25,297311
2021-02-26,298569
2021-02-27,299754
2021-02-28,300816
2021-03-01,301839
2021-03-02,302805
2021-03-03,303763
2021-03-04,304757
2021-03-05,306007
2021-03-06,306997
2021-03-07,308296
2021-03-08,309927
2021-03-09,311112
2021-03-10,312428
2021-03-11,313520
2021-03-12,314891
2021-03-13,316359
2021-03-14,318106
2021-03-15,319374
2021-03-16,320448
2021-03-17,321956
2021-03-18,323509
2021-03-19,325254
2021-03-20,327083
2021-03-21,328874
2021-03-22,330573
2021-03-23,332119
2021-03-24,333690
2021-03-25,336070
2021-03-26,338239
2021-03-27,340692
2021-03-28,343140
2021-03-29,345234
2021-03-30,347570
2021-03-31,349903
2021-04-01,352460
2021-04-02,355549
2021-04-03,358558
2021-04-04,361599
2021-04-05,364537
2021-04-06,367602
2021-04-07,370817
2021-04-08,374112
2021-04-09,378339
2021-04-10,382152
2021-04-11,386608
2021-04-12,391009
2021-04-13,394679
2021-04-14,398835
2021-04-15,403571
2021-04-16,408383
2021-04-17,412745
2021-04-18,416995
2021-04-19,421442
2021-04-20,424911
2021-04-21,429123
2021-04-22,432805
2021-04-23,437310
2021-04-24,441404
2021-04-25,445351
2021-04-26,448861
2021-04-27,452126
2021-04-28,455606
2021-04-29,459477
2021-04-30,463364
2021-05-01,466733
2021-05-02,470465
2021-05-03,473901
2021-05-04,476692
2021-05-05,479633
2021-05-06,483057
2021-05-07,486223
2021-05-08,489087
2021-05-09,492303
2021-05-10,495019
2021-05-11,497092
2021-05-12,499412
2021-05-13,502171
2021-05-14,504533
2021-05-15,507117
2021-05-16,509316
2021-05-17,511486
2021-05-18,513102
2021-05-19,514690
2021-05-20,517090
2021-05-21,518980
2021-05-22,520774
2021-05-23,522465
2021-05-24,523911
2021-05-25,524950
2021-05-26,526045
2021-05-27,527180
2021-05-28,528453
2021-05-29,529510
2021-05-30,530543
2021-05-31,531459
2021-06-01,532158
2021-06-02,532891
2021-06-03,533761
2021-06-04,534675
2021-06-05,535419
2021-06-06,536082
2021-06-07,536607
2021-06-08,537076
2021-06-09,537487
2021-06-10,538077
2021-06-11,538651
2021-06-12,539153
2021-06-13,539683
2021-06-14,540130
2021-06-15,540426
2021-06-16,540810
2021-06-17,541180
2021-06-18,541525
2021-06-19,541880
2021-06-20,542198
2021-06-21,542468
2021-06-22,542764
2021-06-23,543019
2021-06-24,543315
2021-06-25,543571
2021-06-26,543917
2021-06-27,544204
2021-06-28,544414
2021-06-29,544713
2021-06-30,544897
2021-07-01,545181
2021-07-02,545381
2021-07-03,545590
2021-07-04,545803
2021-07-05,545973
2021-07-06,546217
2021-07-07,546411
2021-07-08,546621
2021-07-09,546804
2021-07-10,546983
2021-07-11,547149
2021-07-12,547263
2021-07-13,547409
2021-07-14,547562
2021-07-15,547705
2021-07-16,547864
2021-07-17,548040
2021-07-18,548217
2021-07-19,548347
2021-07-20,548474
2021-07-21,548609
2021-07-22,548794
2021-07-23,548986
2021-07-24,549156
2021-07-25,549328
2021-07-26,549447
2021-07-27,549576
2021-07-28,549734
2021-07-29,549952
2021-07-30,550178
2021-07-31,550436
2021-08-01,550654
2021-08-02,550822
2021-08-03,550986
2021-08-04,551125
2021-08-05,551338
2021-08-06,551678
2021-08-07,552056
2021-08-08,552479
2021-08-09,552804
2021-08-10,553125
2021-08-11,553449
2021-08-12,553962
2021-08-13,554472
2021-08-14,555050
2021-08-15,555561
2021-08-16,556087
2021-08-17,556435
2021-08-18,556920
2021-08-19,557451
2021-08-20,558101
2021-08-21,558790
2021-08-22,559512
2021-08-23,560151
2021-08-24,560637
2021-08-25,561297
2021-08-26,561975
2021-08-27,562756
2021-08-28,563591
2021-08-29,564331
2021-08-30,565025
2021-08-31,565550
2021-09-01,566206
2021-09-02,567071
2021-09-03,567878
2021-09-04,568822
2021-09-05,569633
2021-09-06,570214
2021-09-07,570778
2021-09-08,571332
2021-09-09,572130
2021-09-10,572978
2021-09-11,573835
2021-09-12,574619
2021-09-13,575219
2021-09-14,575796
2021-09-15,576389
2021-09-16,577253
2021-09-17,578048
2021-09-18,578869
2021-09-19,579584
2021-09-20,580194
2021-09-21,580768
2021-09-22,581231
2021-09-23,581908
2021-09-24,582635
2021-09-25,583275
2021-09-26,583928
2021-09-27,584541
2021-09-28,585007
2021-09-29,585502
2021-09-30,586149
2021-10-01,586817
2021-10-02,587521
2021-10-03,588101
2021-10-04,588612
2021-10-05,589041
2021-10-06,589517
2021-10-07,590104
2021-10-08,590677
2021-10-09,591331
2021-10-10,591866
2021-10-11,592324
2021-10-12,592714
2021-10-13,593020
2021-10-14,593437
2021-10-15,593933
2021-10-16,594419
2021-10-17,594862
2021-10-18,595235
2021-10-19,595563
2021-10-20,595867
2021-10-21,596280
2021-10-22,596772
2021-10-23,597145
2021-10-24,597515
2021-10-25,597841
2021-10-26,598110
2021-10-27,598431
2021-10-28,598840
2021-10-29,599259
2021-10-30,599615
2021-10-31,599955
2021-11-01,600377
2021-11-02,600708
2021-11-03,601086
2021-11-04,601524
2021-11-05,602087
2021-11-06,602595
2021-11-07,603231
2021-11-08,603711
2021-11-09,604152
2021-11-10,604606
2021-11-11,605248
2021-11-12,605846
2021-11-13,606507
2021-11-14,607173
2021-11-15,607725
2021-11-16,608206
2021-11-17,608718
2021-11-18,609429
2021-11-19,610222
2021-11-20,610950
2021-11-21,611691
2021-11-22,612318
2021-11-23,612931
2021-11-24,613522
2021-11-25,614270
2021-11-26,615197
2021-11-27,616051
