Geo Code,Geo Name,Line Number
"01","Canada",2
"10","Newfoundland and Labrador",2249
"1001","Division No. 1",4496
"1001101","Division No. 1, Subd. V",6743
"10011010732","10010732",8990
"1001105","Portugal Cove South",11237
"10011050734","10010734",13484
"1001113","Trepassey",15731
"10011130735","10010735",17978
"10011130736","10010736",20225
"1001120","St. Shott's",22472
"10011200733","10010733",24719
"1001124","Division No. 1, Subd. U",26966
"10011240737","10010737",29213
"10011240741","10010741",31460
"10011240743","10010743",33707
"1001126","Cape Broyle",35954
"10011260742","10010742",38201
"1001131","Renews-Cappahayden",40448
"10011310740","10010740",42695
"1001136","Fermeuse",44942
"10011360738","10010738",47189
"1001140","Port Kirwan",49436
"10011400739","10010739",51683
"1001144","Aquaforte",53930
"10011440745","10010745",56177
"1001149","Ferryland",58424
"10011490744","10010744",60671
"1001155","Division No. 1, Subd. W",62918
"10011550724","10010724",65165
"1001169","St. Vincent's-St. Stephen's-Peter's River",67412
"10011690731","10010731",69659
"1001174","Gaskiers-Point La Haye",71906
"10011740730","10010730",74153
"1001178","St. Mary's",76400
"10011780729","10010729",78647
"1001181","Riverhead",80894
"10011810728","10010728",83141
"1001186","Admirals Beach",85388
"10011860725","10010725",87635
"1001192","St. Joseph's",89882
"10011920727","10010727",92129
"1001197","Mount Carmel-Mitchells Brook-St. Catherine's",94376
"10011970726","10010726",96623
"1001203","Division No. 1, Subd. X",98870
"10012030722","10010722",101117
"1001207","Colinet",103364
"10012070723","10010723",105611
"1001214","Division No. 1, Subd. C",107858
"10012140746","10010746",110105
"1001219","Branch",112352
"10012190747","10010747",114599
"1001225","Point Lance",116846
"10012250749","10010749",119093
"1001228","St. Bride's",121340
"10012280748","10010748",123587
"1001234","Division No. 1, Subd. B",125834
"10012340750","10010750",128081
"1001240","Placentia",130328
"10012400753","10010753",132575
"10012400754","10010754",134822
"10012400755","10010755",137069
"10012400756","10010756",139316
"10012400757","10010757",141563
"10012400758","10010758",143810
"10012400759","10010759",146057
"10012400760","10010760",148304
"10012400761","10010761",150551
"1001254","Fox Harbour",152798
"10012540752","10010752",155045
"1001259","Division No. 1, Subd. A",157292
"10012590709","10010709",159539
"10012590714","10010714",161786
"1001263","Long Harbour-Mount Arlington Heights",164033
"10012630751","10010751",166280
"1001267","Southern Harbour",168527
"10012670716","10010716",170774
"1001270","Arnold's Cove",173021
"10012700712","10010712",175268
"10012700713","10010713",177515
"1001274","Come By Chance",179762
"10012740711","10010711",182009
"1001277","Sunnyside",184256
"10012770710","10010710",186503
"1001281","Chance Cove",188750
"10012810715","10010715",190997
"1001285","Norman's Cove-Long Cove",193244
"10012850717","10010717",195491
"1001289","Chapel Arm",197738
"10012890718","10010718",199985
"1001293","Division No. 1, Subd. Y",202232
"10012930694","10010694",204479
"10012930719","10010719",206726
"1001298","Whitbourne",208973
"10012980720","10010720",211220
"10012980721","10010721",213467
"1001304","Division No. 1, Subd. E",215714
"10013040695","10010695",217961
"10013040696","10010696",220208
"10013040697","10010697",222455
"10013040698","10010698",224702
"10013040699","10010699",226949
"10013040700","10010700",229196
"1001308","Whiteway",231443
"10013080701","10010701",233690
"1001312","Heart's Delight-Islington",235937
"10013120702","10010702",238184
"1001316","Heart's Desire",240431
"10013160703","10010703",242678
"1001321","Division No. 1, Subd. F",244925
"10013210706","10010706",247172
"1001325","Heart's Content",249419
"10013250704","10010704",251666
"1001328","New Perlican",253913
"10013280705","10010705",256160
"1001332","Winterton",258407
"10013320707","10010707",260654
"1001335","Hant's Harbour",262901
"10013350708","10010708",265148
"1001339","Division No. 1, Subd. G",267395
"10013390497","10010497",269642
"10013390499","10010499",271889
"10013390500","10010500",274136
"10013390501","10010501",276383
"10013390503","10010503",278630
"1001343","Old Perlican",280877
"10013430498","10010498",283124
"1001347","Bay de Verde",285371
"10013470496","10010496",287618
"1001352","Small Point-Adam's Cove-Blackhead-Broad Cove",289865
"10013520502","10010502",292112
"1001357","Division No. 1, Subd. H",294359
"10013570504","10010504",296606
"1001361","Salmon Cove",298853
"10013610505","10010505",301100
"1001365","Victoria",303347
"10013650506","10010506",305594
"10013650507","10010507",307841
"10013650508","10010508",310088
"10013650509","10010509",312335
"1001370","Carbonear",314582
"10013700510","10010510",316829
"10013700511","10010511",319076
"10013700512","10010512",321323
"10013700513","10010513",323570
"10013700514","10010514",325817
"10013700515","10010515",328064
"10013700516","10010516",330311
"10013700517","10010517",332558
"10013700518","10010518",334805
"10013700519","10010519",337052
"1001374","Division No. 1, Subd. I",339299
"10013740520","10010520",341546
"10013740528","10010528",343793
"1001375","Bryant's Cove",346040
"10013750534","10010534",348287
"1001379","Harbour Grace",350534
"10013790521","10010521",352781
"10013790522","10010522",355028
"10013790523","10010523",357275
"10013790524","10010524",359522
"10013790525","10010525",361769
"10013790526","10010526",364016
"10013790527","10010527",366263
"1001385","Upper Island Cove",368510
"10013850529","10010529",370757
"10013850530","10010530",373004
"10013850532","10010532",375251
"10013850533","10010533",377498
"1001391","Division No. 1, Subd. J",379745
"10013910763","10010763",381992
"1001394","Bishop's Cove",384239
"10013940531","10010531",386486
"1001396","Spaniard's Bay",388733
