Number,date,total_cases,new_cases,new_cases_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed
1,2021-01-01,591149,3720,6452.286,15528.8,97.72,169.494,103790,103790,,6208,8342
2,2021-01-02,598091,6942,6701.0,15711.158,182.358,176.028,108732,108732,,4942,8616
3,2021-01-03,608734,10643,7440.714,15990.737,279.579,195.459,114034,114034,,5302,8822
4,2021-01-04,618801,10067,7949.286,16255.186,264.448,208.819,137735,137735,,23701,11184
5,2021-01-05,626129,7328,7758.0,16447.684,192.498,203.794,155197,155197,,17462,12105
6,2021-01-06,634437,8308,7694.857,16665.925,218.242,202.135,183360,182930,430.0,28163,14174
7,2021-01-07,642978,8541,7935.571,16890.288,224.362,208.458,219446,218359,1087.0,36086,17409
8,2021-01-08,652373,9395,8746.286,17137.083,246.796,229.755,260654,258627,2027.0,41208,22409
9,2021-01-09,659647,7274,8793.714,17328.163,191.08,231.001,296241,293301,2940.0,35587,26787
10,2021-01-10,666375,6728,8234.429,17504.9,176.737,216.309,319603,316661,2942.0,23362,29367
11,2021-01-11,674624,8249,7974.714,17721.591,216.692,209.487,359049,356107,2942.0,39446,31616
12,2021-01-12,681015,6391,7840.857,17889.476,167.884,205.97,388493,384316,4177.0,29444,33328
13,2021-01-13,688097,7082,7665.714,18075.512,186.036,201.369,419209,406124,13085.0,30716,33693
14,2021-01-14,695359,7262,7483.0,18266.276,190.764,196.57,459492,443846,15646.0,40283,34292
15,2021-01-15,702203,6844,7118.571,18446.06,179.784,186.997,507687,488539,19148.0,48195,35290
16,2021-01-16,708263,6060,6945.143,18605.249,159.189,182.441,543291,523023,20268.0,35604,35293
17,2021-01-17,714316,6053,6848.714,18764.254,159.005,179.908,570742,549284,21458.0,27451,35877
18,2021-01-18,720440,6124,6545.143,18925.125,160.87,171.933,614666,592478,22188.0,43924,36517
19,2021-01-19,725599,5159,6369.143,19060.646,135.521,167.31,653653,629268,24385.0,38987,37880
20,2021-01-20,731371,5772,6182.0,19212.269,151.624,162.394,696242,659194,37048.0,42589,39576
21,2021-01-21,737654,6283,6042.143,19377.317,165.047,158.72,738864,695612,43252.0,42622,39910
22,2021-01-22,743384,5730,5883.0,19527.837,150.52,154.54,776606,727115,49491.0,37742,38417
23,2021-01-23,748123,4739,5694.286,19652.325,124.488,149.582,801238,747434,53804.0,24632,36850
24,2021-01-24,752510,4387,5456.286,19767.566,115.241,143.33,816451,760010,56441.0,15213,35101
25,2021-01-25,758142,5632,5386.0,19915.513,147.946,141.484,839949,775296,64653.0,23498,32183
26,2021-01-26,762368,4226,5252.714,20026.525,111.012,137.983,868454,795643,72811.0,28505,30686
27,2021-01-27,766633,4265,5037.429,20138.561,112.037,132.327,891324,809128,82196.0,22870,27869
28,2021-01-28,771358,4725,4814.857,20262.682,124.12,126.481,916027,824083,91944.0,24703,25309
29,2021-01-29,776171,4813,4683.857,20389.114,126.432,123.04,937199,836024,101175.0,21172,22942
30,2021-01-30,780147,3976,4574.857,20493.558,104.445,120.176,952212,842711,109501.0,15013,21568
31,2021-01-31,783735,3588,4460.714,20587.811,94.253,117.178,957229,845339,111890.0,5017,20111
32,2021-02-01,788323,4588,4311.571,20708.333,120.521,113.26,975492,859175,116317.0,18263,19363
33,2021-02-02,791385,3062,4145.286,20788.768,80.435,108.892,988202,867115,121087.0,12710,17107
34,2021-02-03,794681,3296,4006.857,20875.35,86.582,105.255,1001468,871335,130133.0,13266,15735
35,2021-02-04,798650,3969,3898.857,20979.611,104.261,102.418,1020066,877629,142437.0,18598,14863
36,2021-02-05,802904,4254,3819.0,21091.358,111.748,100.321,1042901,887398,155503.0,22835,15100
37,2021-02-06,806010,3106,3694.714,21172.95,81.591,97.056,1064370,895383,168987.0,21469,16023
38,2021-02-07,808973,2963,3605.429,21250.784,77.835,94.71,1077297,900713,176584.0,12927,17153
39,2021-02-08,812700,3727,3482.429,21348.688,97.904,91.479,1098746,911312,187434.0,21449,17608
40,2021-02-09,815526,2826,3448.714,21422.924,74.236,90.594,1124517,920458,204059.0,25771,19474
41,2021-02-10,818967,3441,3469.429,21513.315,90.391,91.138,1154277,930286,223991.0,29760,21830
42,2021-02-11,822038,3071,3341.143,21593.987,80.672,87.768,1186689,942589,244100.0,32412,23803
43,2021-02-12,824754,2716,3121.429,21665.333,71.346,81.996,1221839,955013,266826.0,35150,25563
44,2021-02-13,828335,3581,3189.286,21759.401,94.069,83.779,1255076,967606,287470.0,33237,27244
45,2021-02-14,830352,2017,3054.143,21812.386,52.984,80.229,1272900,971168,301732.0,17824,27943
46,2021-02-15,832058,1706,2765.429,21857.2,44.815,72.645,1282761,972779,309982.0,9861,26288
47,2021-02-16,836455,4397,2989.857,21972.704,115.504,78.54,1308918,981148,327770.0,26157,26343
48,2021-02-17,838998,2543,2861.571,22039.506,66.802,75.17,1329398,985975,343423.0,20480,25017
49,2021-02-18,842393,3395,2907.857,22128.689,89.183,76.386,1356423,993291,363132.0,27025,24248
50,2021-02-19,845454,3061,2957.143,22209.098,80.409,77.681,1404273,1016579,387694.0,47850,26062
51,2021-02-20,848060,2606,2817.857,22277.554,68.457,74.022,1453980,1049514,404466.0,49707,28415
52,2021-02-21,850617,2557,2895.0,22344.724,67.169,76.048,1496377,1078899,417478.0,42397,31925
53,2021-02-22,853901,3284,3120.429,22430.991,86.267,81.97,1558110,1108564,449546.0,61733,39336
54,2021-02-23,857206,3305,2964.429,22517.809,86.819,77.872,1606472,1138700,467772.0,48362,42508
55,2021-02-24,860200,2994,3028.857,22596.458,78.649,79.565,1652562,1170515,482047.0,46090,46166
56,2021-02-25,863301,3101,2986.857,22677.918,81.46,78.461,1711455,1212595,498860.0,58893,50719
57,2021-02-26,866528,3227,3010.571,22762.687,84.77,79.084,1778706,1266731,511975.0,67251,53490
